X_COORD;Y_COORD
5.93411;49.96511
6.06652;49.55583
6.37219;50.16941
6.52321;49.97444
6.52547;49.95558
6.53573;49.94179
6.56010;49.68567
6.57708;49.60749
6.58526;49.49895
6.58579;49.77117
6.58717;49.76907
6.60773;49.73000
6.61184;49.73024
6.63937;49.76425
6.63959;49.45465
6.64845;49.75796
6.64974;49.75698
6.65162;49.75768
6.66407;50.24031
6.66571;49.76614
6.67585;49.74833
6.68106;49.77562
6.68753;49.74522
6.69049;49.79857
6.69506;49.79655
6.69733;49.72554
6.72220;49.35654
6.74200;49.82936
6.75335;49.50109
6.76893;49.80549
6.76909;49.60541
6.77164;49.35251
6.77757;49.35173
6.78412;49.35166
6.79138;49.28398
6.79326;49.27217
6.79586;49.29838
6.82341;49.24911
6.83020;49.24968
6.83275;49.38868
6.85784;49.24742
6.85913;49.44660
6.87376;49.47633
6.87683;49.47540
6.88466;49.27847
6.88629;49.40435
6.89307;49.98189
6.90062;49.85655
6.90311;49.97862
6.91610;49.85675
6.92285;49.23150
6.94504;49.23872
6.96022;49.23683
6.96505;49.44760
6.98371;49.48726
6.99891;49.26522
7.00453;49.75089
7.00885;49.60405
7.01457;49.22446
7.02613;49.91021
7.03675;49.97745
7.03816;49.47574
7.04072;49.21092
7.04318;49.32695
7.04353;49.29086
7.05008;49.30374
7.05912;49.92936
7.07556;49.28867
7.08726;50.15670
7.10659;49.35127
7.11167;49.27617
7.13353;49.81473
7.14608;49.46458
7.16255;50.02846
7.16556;49.40389
7.16849;49.64836
7.17242;49.60406
7.17663;49.47830
7.18220;49.34364
7.19446;49.35079
7.22320;49.28672
7.23311;49.34372
7.23626;49.34817
7.23848;49.28207
7.23882;49.32080
7.24906;49.35966
7.25618;49.93332
7.26256;49.93607
7.29283;49.26606
7.32537;49.30775
7.32790;49.34531
7.33482;49.25969
7.33854;49.76652
7.34262;49.32705
7.34635;49.24715
7.34681;49.70464
7.34730;49.30972
7.35424;49.25201
7.35528;49.34341
7.36339;49.26539
7.37791;49.72164
7.40141;49.21838
7.44496;50.06891
7.44594;49.79178
7.51455;50.05278
7.55608;49.53570
7.56534;49.99489
7.57072;49.41760
7.58580;49.18570
7.59357;49.79115
7.64047;49.78087
7.64735;49.78677
7.70069;49.76387
7.75574;49.79342
7.76275;49.44377
7.77090;49.44101
7.77631;49.43870
7.82860;49.63654
7.86290;49.83709
7.87239;49.84046
7.88916;49.48455
7.90575;49.89541
7.93637;49.20885
7.95838;49.67804
7.97823;49.20827
7.98575;49.82529
8.00990;49.10128
8.01169;49.67600
8.01285;49.66679
8.02075;49.21991
8.02109;49.96490
8.03055;49.21950
8.03348;49.21699
8.04121;49.97327
8.04503;49.38888
8.05029;49.37527
8.05898;48.73428
8.07184;49.55304
8.08010;49.55581
8.10369;49.35893
8.11312;49.21066
8.11375;49.19714
8.11394;49.20006
8.12447;49.20964
8.12539;49.13873
8.13029;49.21057
8.13870;49.19162
8.13938;49.07236
8.13946;49.28563
8.16024;49.35474
8.16476;49.45865
8.16561;49.20294
8.16767;49.36811
8.16803;49.46348
8.16940;50.02830
8.16983;49.20597
8.17323;49.20537
8.17459;49.09672
8.17728;49.09955
8.17877;48.85503
8.18040;49.61267
8.18287;49.09919
8.18311;49.56305
8.18610;49.60573
8.19090;50.06602
8.19357;49.08313
8.19489;48.74617
8.19581;49.08101
8.19588;49.08225
8.19622;48.86309
8.20103;49.36333
8.20174;49.23936
8.20392;48.78182
8.20429;48.98905
8.20568;49.12593
8.20932;49.20146
8.20994;49.19815
8.21257;49.96107
8.21796;49.65209
8.21815;49.59753
8.22404;48.85683
8.22681;48.85814
8.22767;48.76635
8.23122;48.85455
8.23251;48.85411
8.24094;50.01618
8.24414;49.34608
8.24633;49.70027
8.24659;49.05535
8.24868;50.01866
8.24950;50.29640
8.25155;49.01028
8.25214;50.30078
8.25401;50.03869
8.25520;48.94262
8.25680;49.01204
8.25699;49.01252
8.25915;49.00844
8.25999;49.96226
8.26028;49.99264
8.26292;48.88619
8.26314;49.63405
8.26330;49.08261
8.27894;49.18964
8.28006;49.05139
8.28493;48.87884
8.28814;49.97601
8.28921;50.00984
8.28939;49.19436
8.29605;49.06813
8.29659;49.06862
8.29666;49.03869
8.29688;49.16295
8.29754;49.06921
8.29837;49.14886
8.30492;49.19491
8.30514;49.01465
8.31167;49.03886
8.31174;48.88921
8.31359;49.01331
8.31499;49.01269
8.31526;49.99225
8.31604;49.01214
8.31634;48.99614
8.31748;49.01042
8.31781;49.00862
8.31793;49.00863
8.31815;48.89001
8.31846;49.01113
8.32075;49.05640
8.32099;49.42913
8.32264;49.05820
8.32603;49.00039
8.32887;49.47894
8.33227;48.77128
8.33300;49.01222
8.33389;49.01199
8.33411;48.96388
8.33433;49.05090
8.33541;49.27545
8.33550;49.03761
8.33568;49.27394
8.33586;49.01626
8.33661;49.01406
8.33740;49.01622
8.33784;49.53396
8.33824;49.05302
8.33839;49.54665
8.33944;48.96218
8.34022;49.02085
8.34032;48.78803
8.34122;49.01172
8.34414;49.00764
8.34558;48.99417
8.34570;49.02653
8.34591;49.02616
8.34696;49.01373
8.34761;49.54696
8.35239;49.78933
8.35322;49.00818
8.35678;49.02516
8.35734;49.00295
8.35853;49.00791
8.35972;49.00675
8.36210;49.65458
8.36265;49.48259
8.36431;49.20888
8.36440;49.01690
8.36478;49.21772
8.36531;49.00369
8.36604;49.02237
8.36608;48.94065
8.36725;49.03722
8.36751;49.23578
8.36767;49.00083
8.36780;49.20180
8.36861;48.93972
8.36866;49.23363
8.36888;49.06536
8.36909;49.23403
8.37148;48.98395
8.37241;49.06625
8.37345;48.95360
8.37794;48.95734
8.37866;49.07313
8.37897;48.98827
8.37905;49.07724
8.38060;49.23011
8.38063;49.00060
8.38064;48.99835
8.38081;48.99834
8.38108;48.94312
8.38154;48.94279
8.38167;50.06735
8.38181;49.00949
8.38199;48.94534
8.38607;49.00226
8.38620;49.00053
8.38700;49.00501
8.39108;48.99846
8.39150;49.04399
8.39195;48.99054
8.39198;49.01526
8.39200;49.04253
8.39264;48.93968
8.39346;49.36302
8.39352;49.01171
8.39387;49.01001
8.39436;48.86496
8.39479;49.48867
8.39624;49.01001
8.39973;48.99114
8.40017;49.00792
8.40146;49.55512
8.40242;49.98705
8.40341;49.00547
8.40463;49.48848
8.40654;49.44591
8.40752;49.00944
8.40925;49.09341
8.41024;49.01213
8.41059;49.00025
8.41153;48.94750
8.41177;49.00936
8.41184;49.01208
8.41215;49.00618
8.41243;48.97239
8.41262;49.01132
8.41319;49.01171
8.41370;49.01049
8.41440;49.99389
8.41460;48.99230
8.41576;49.28101
8.41604;49.01146
8.41630;49.01384
8.41643;49.00893
8.41699;49.01827
8.41902;49.00901
8.41972;49.45918
8.42037;49.01336
8.42153;49.01438
8.42227;49.45044
8.42240;49.65835
8.42328;49.49057
8.42443;49.99681
8.42467;49.31871
8.42510;49.48377
8.42535;49.00014
8.42736;49.98886
8.42833;49.01339
8.42865;49.09199
8.42925;49.02193
8.43056;49.48451
8.43104;49.45496
8.43141;49.00645
8.43157;49.62037
8.43546;49.47945
8.43878;49.01117
8.44116;48.80062
8.44117;49.00641
8.44165;49.02098
8.44340;49.45989
8.44396;48.93242
8.44442;49.32264
8.44513;48.99308
8.44521;49.50447
8.44694;48.99135
8.44956;49.33355
8.44978;49.02498
8.44995;49.24883
8.45037;49.50463
8.45043;49.60846
8.45203;49.52866
8.45444;49.52366
8.45448;49.51648
8.45532;49.47433
8.45533;49.53439
8.45547;49.07329
8.45607;49.30152
8.45771;49.07500
8.45852;48.99817
8.45954;49.50863
8.46054;49.02348
8.46261;48.99524
8.46344;49.22563
8.46350;49.22319
8.46351;49.00120
8.46374;49.64312
8.46409;49.00053
8.46511;49.52195
8.46558;49.01832
8.46566;49.07657
8.46584;49.07630
8.46688;49.08053
8.46699;48.99961
8.46913;49.52845
8.47005;49.00436
8.47238;49.02996
8.47292;49.02742
8.47316;48.99750
8.47326;49.02966
8.47410;49.02992
8.47652;49.01826
8.47655;49.50558
8.47685;49.63976
8.47882;49.47201
8.48112;49.59742
8.48118;49.53149
8.48179;49.71849
8.48390;49.75212
8.48563;49.52645
8.48724;49.69365
8.48940;48.92652
8.48996;49.16401
8.49015;49.76173
8.49074;49.18003
8.49152;50.04941
8.49433;49.44689
8.49595;49.49907
8.49978;49.44512
8.49978;49.92638
8.50152;49.49457
8.50156;48.90374
8.50183;49.51035
8.50311;49.44662
8.50430;49.24512
8.50701;48.88324
8.50721;49.00507
8.50807;49.12254
8.50953;49.44289
8.51206;49.43919
8.51331;49.42959
8.51349;49.44374
8.51464;49.41990
8.51587;48.84309
8.51713;49.05362
8.51743;49.51271
8.51823;49.42741
8.51862;48.84696
8.51871;48.84331
8.51961;49.46413
8.52244;49.04712
8.52266;49.43260
8.52595;49.33555
8.52648;50.14907
8.52755;49.35750
8.52769;49.09812
8.52800;49.42618
8.52897;50.09785
8.53727;49.24760
8.53839;48.99805
8.53918;50.09841
8.53919;49.25287
8.54029;49.41848
8.54316;49.24843
8.54368;50.08223
8.54456;50.10711
8.54517;49.13610
8.54537;50.08137
8.54930;50.08556
8.55043;48.84746
8.55183;49.14829
8.55190;50.09039
8.55241;48.75643
8.55330;49.13195
8.55351;49.04724
8.55543;49.13288
8.55586;49.12172
8.55668;49.51371
8.55857;49.30094
8.56240;49.11999
8.56241;49.13993
8.56539;49.45108
8.56725;49.12679
8.57045;49.13251
8.57497;49.15811
8.57586;50.04925
8.57692;49.12214
8.57705;49.12221
8.57759;48.79102
8.57774;48.95271
8.57863;49.44608
8.58057;49.54633
8.58074;49.48150
8.58114;49.38082
8.58138;50.09105
8.58518;50.01295
8.58986;50.18903
8.59479;49.55370
8.59520;50.09525
8.59587;49.12628
8.59989;49.47739
8.60094;49.47678
8.60424;49.13319
8.60676;48.85273
8.60676;50.23328
8.60917;49.51445
8.61061;50.14816
8.61959;49.88479
8.62600;49.64774
8.62870;49.86283
8.63144;49.22011
8.63323;49.38936
8.63372;50.17433
8.63402;48.96149
8.63712;49.87303
8.63868;50.12575
8.63922;50.10532
8.64053;50.16971
8.64133;49.24468
8.64273;50.19298
8.64325;49.89008
8.64666;48.87661
8.64732;49.87359
8.65030;50.09861
8.65052;49.24293
8.65185;48.88080
8.65242;49.88836
8.65409;49.24214
8.65673;48.88614
8.65734;48.86033
8.66059;48.85177
8.66095;50.09646
8.66126;49.44215
8.66366;49.55477
8.66556;49.42068
8.66562;48.91071
8.66591;49.96724
8.66638;48.91365
8.66786;49.41695
8.66803;48.88895
8.66936;48.90129
8.66960;49.41812
8.67119;49.41738
8.67142;49.41640
8.67162;48.88880
8.67212;49.41502
8.67243;49.41491
8.67254;49.41947
8.67305;49.87473
8.67336;49.41707
8.67479;49.42228
8.67601;49.39684
8.67729;49.35741
8.67747;48.34732
8.67935;49.39768
8.68007;49.36681
8.68016;48.89030
8.68062;50.11145
8.68581;49.40512
8.68674;49.03529
8.68689;49.17596
8.68918;49.35698
8.69130;50.10138
8.69166;49.37870
8.69368;49.29463
8.69455;50.10455
8.69595;50.00321
8.69670;48.89067
8.69758;49.03465
8.69796;48.88814
8.69884;48.89158
8.69885;48.89031
8.69974;49.71332
8.70737;48.95243
8.71463;49.10467
8.71507;48.89150
8.71623;49.03375
8.72330;49.12132
8.72514;49.22809
8.72523;49.12017
8.72939;49.04670
8.73270;50.11755
8.73603;50.13973
8.73804;49.04867
8.74143;49.83628
8.74151;49.10941
8.74368;49.05416
8.74430;49.05257
8.74486;49.05444
8.74499;50.11008
8.74571;50.14378
8.74898;49.02362
8.75004;49.02646
8.75201;48.88768
8.75462;49.01732
8.75571;50.23627
8.76635;50.08639
8.77703;50.23912
8.78659;48.91451
8.79057;49.39453
8.79608;50.10827
8.79935;49.06933
8.80493;49.32501
8.80569;50.01779
8.80748;49.10345
8.81912;49.88181
8.83213;50.08336
8.83364;50.06674
8.84376;50.11356
8.85000;49.39734
8.85280;50.07021
8.85991;50.13136
8.86404;50.24293
8.86492;50.24427
8.89600;50.05663
8.89632;49.43925
8.91342;50.13455
8.91986;50.11964
8.92307;50.11762
8.92883;50.13000
8.94997;50.28950
8.95895;49.95180
8.96004;49.95118
8.96190;49.46380
8.96566;50.27452
8.96752;50.08281
8.96789;50.11826
8.99279;50.04515
